date,realtime_start,realtime_end,value
1988-12-01,2025-01-15,2025-01-15,1563.0
1989-01-01,2025-01-15,2025-01-15,1621.0
1989-02-01,2025-01-15,2025-01-15,1425.0
1989-03-01,2025-01-15,2025-01-15,1422.0
1989-04-01,2025-01-15,2025-01-15,1339.0
1989-05-01,2025-01-15,2025-01-15,1331.0
1989-06-01,2025-01-15,2025-01-15,1397.0
1989-07-01,2025-01-15,2025-01-15,1427.0
1989-08-01,2025-01-15,2025-01-15,1332.0
1989-09-01,2025-01-15,2025-01-15,1279.0
1989-10-01,2025-01-15,2025-01-15,1410.0
1989-11-01,2025-01-15,2025-01-15,1351.0
1989-12-01,2025-01-15,2025-01-15,1251.0
1990-01-01,2025-01-15,2025-01-15,1551.0
1990-02-01,2025-01-15,2025-01-15,1437.0
1990-03-01,2025-01-15,2025-01-15,1289.0
1990-04-01,2025-01-15,2025-01-15,1248.0
1990-05-01,2025-01-15,2025-01-15,1212.0
1990-06-01,2025-01-15,2025-01-15,1177.0
1990-07-01,2025-01-15,2025-01-15,1171.0
1990-08-01,2025-01-15,2025-01-15,1115.0
1990-09-01,2025-01-15,2025-01-15,1110.0
1990-10-01,2025-01-15,2025-01-15,1014.0
1990-11-01,2025-01-15,2025-01-15,1145.0
1990-12-01,2025-01-15,2025-01-15,969.0
1991-01-01,2025-01-15,2025-01-15,798.0
1991-02-01,2025-01-15,2025-01-15,965.0
1991-03-01,2025-01-15,2025-01-15,921.0
1991-04-01,2025-01-15,2025-01-15,1001.0
1991-05-01,2025-01-15,2025-01-15,996.0
1991-06-01,2025-01-15,2025-01-15,1036.0
1991-07-01,2025-01-15,2025-01-15,1063.0
1991-08-01,2025-01-15,2025-01-15,1049.0
1991-09-01,2025-01-15,2025-01-15,1015.0
1991-10-01,2025-01-15,2025-01-15,1079.0
1991-11-01,2025-01-15,2025-01-15,1103.0
1991-12-01,2025-01-15,2025-01-15,1079.0
1992-01-01,2025-01-15,2025-01-15,1176.0
1992-02-01,2025-01-15,2025-01-15,1250.0
1992-03-01,2025-01-15,2025-01-15,1297.0
1992-04-01,2025-01-15,2025-01-15,1099.0
1992-05-01,2025-01-15,2025-01-15,1214.0
1992-06-01,2025-01-15,2025-01-15,1145.0
1992-07-01,2025-01-15,2025-01-15,1139.0
1992-08-01,2025-01-15,2025-01-15,1226.0
1992-09-01,2025-01-15,2025-01-15,1186.0
1992-10-01,2025-01-15,2025-01-15,1244.0
1992-11-01,2025-01-15,2025-01-15,1214.0
1992-12-01,2025-01-15,2025-01-15,1227.0
1993-01-01,2025-01-15,2025-01-15,1210.0
1993-02-01,2025-01-15,2025-01-15,1210.0
1993-03-01,2025-01-15,2025-01-15,1083.0
1993-04-01,2025-01-15,2025-01-15,1258.0
1993-05-01,2025-01-15,2025-01-15,1260.0
1993-06-01,2025-01-15,2025-01-15,1280.0
1993-07-01,2025-01-15,2025-01-15,1254.0
